taxonomy_id,ZymoMock,BioPool,HMP_even_illum_SRR172902,HMP_even_454_SRR072233,ABRF_MGRG_10ng,ABRF_MGRG_classIplus,ABRF_MGRG_5ng,ABRF_MGRG_1ng,ABRF_MGRG_Half,ABRF_MGRG_Normal,JGI_SRR033549,JGI_SRR033548
287,0.147,12,0,0,0,0,0,0,0,0,0,0
562,0.126,12,0,0,0,0,0,0,0,0,0,0
28901,0.121,12,0,0,0,0,0,0,0,0,0,0
1613,0.095,12,0,0,0,0,0,0,0,0,0,0
1351,0.126,12,0,0,0,0,0,0,0,0,0,0
1280,0.102,12,0,0,0,0,0,0,0,0,0,0
1639,0.126,12,0,0,0,0,0,0,0,0,0,0
1423,0.123,12,0,0,0,0,0,0,0,0,0,0
4932,0.019,2,0,0,0,0,0,0,0,0,0,0
5207,0.015,2,0,0,0,0,0,0,0,0,0,0
821,0,0,1,1,0,0,0,0,0,0,0,0
1063,0,0,1,1,0,0,0,0,0,0,0,0
470,0,0,1,1,0,0,0,0,0,0,0,0
1280,0,0,1,1,0,0,0,0,0,0,0,0
1282,0,0,1,1,0,0,0,0,0,0,0,0
1299,0,0,1,1,0,0,0,0,0,0,0,0
1309,0,0,1,1,0,0,0,0,0,0,0,0
1311,0,0,1,1,0,0,0,0,0,0,0,0
1313,0,0,1,1,0,0,0,0,0,0,0,0
1351,0,0,1,1,0,0,0,0,0,0,0,0
487,0,0,1,1,0,0,0,0,0,0,0,0
1396,0,0,1,1,0,0,0,0,0,0,0,0
1520,0,0,1,1,0,0,0,0,0,0,0,0
1596,0,0,1,1,0,0,0,0,0,0,0,0
1639,0,0,1,1,0,0,0,0,0,0,0,0
1660,0,0,1,1,0,0,0,0,0,0,0,0
1747,0,0,1,1,0,0,0,0,0,0,0,0
2173,0,0,1,1,0,0,0,0,0,0,0,0
210,0,0,1,1,0,0,0,0,0,0,0,0
5476,0,0,1,1,0,0,0,0,0,0,0,0
287,0,0,1,1,0,0,0,0,0,0,0,0
562,0,0,1,1,0,0,0,0,0,0,0,0
1270,0,0,0,0,1,1,1,1,1,1,0,0
1282,0,0,0,0,1,1,1,1,1,1,0,0
562,0,0,0,0,1,1,1,1,1,1,0,0
1570,0,0,0,0,1,1,1,1,1,1,0,0
294,0,0,0,0,1,1,1,1,1,1,0,0
542,0,0,0,0,0,1,0,0,0,0,0,0
536,0,0,0,0,0,1,0,0,0,0,0,0
1423,0,0,0,0,0,1,0,0,0,0,0,0
1351,0,0,0,0,0,1,0,0,0,0,0,0
294,0,0,0,0,0,1,0,0,0,0,0,0
2246,0,0,0,0,0,1,0,0,0,0,0,0
1358,0,0,0,0,0,0,0,0,0,0,2,2
34,0,0,0,0,0,0,0,0,0,0,1,1
1580,0,0,0,0,0,0,0,0,0,0,1,1
1597,0,0,0,0,0,0,0,0,0,0,1,1
2242,0,0,0,0,0,0,0,0,0,0,1,1
4932,0,0,0,0,0,0,0,0,0,0,1,1
28049,0,0,0,0,0,0,0,0,0,0,1,1
1255,0,0,0,0,0,0,0,0,0,0,1,1
60478,0,0,0,0,0,0,0,0,0,0,1,1